"","TV","AE","RB","SB","RMSE","CR"
"lambda1",0.1,0.0999,-0.111,1.1029,1.7665,0.944
"lambda2",8,8.0036,0.0452,4.0132,7.4976,0.951
"p1",0.1,0.1002,0.202,2.1684,1.767,0.961
"p2",0.7,0.6997,-0.0459,2.1981,1.6651,0.96
"mean1",0,7e-04,Inf,1.2728,1.806,0.94
"var1",3,2.997,-0.1009,1.5814,2.8527,0.925
"skew1",1,0.9877,-1.2323,7.4457,1.7048,0.872
"kur1",2,1.9201,-3.9947,7.8019,2.2961,0.754
"mean2",2,1.9995,-0.023,1.0193,2.1187,0.941
"var2",2,1.9966,-0.1697,5.46,2.1142,0.947
"skew2",0,0.0035,Inf,3.4378,1.8031,0.949
"kur2",-0.9582,-1.0888,13.6282,19.03,2.5261,0.226
"Poi1 Poi2",-0.041968832956627,-0.043,2.5403,3.456,1.8169,0.954
"Poi1 Bin1",0.119990302948281,0.1566,30.4876,81.2749,1.7465,0.696
"Poi1 Bin2",0.0364610071992502,0.0359,-1.6359,1.8448,1.7877,0.949
"Poi1 Non-nor1",0.0336906940210611,0.0325,-3.5587,3.9523,1.7912,0.96
"Poi1 Non-nor2",0.106241331202909,0.1047,-1.4394,4.9348,1.7643,0.958
"Poi2 Bin1",-0.219559242599644,-0.2199,0.1439,0.9117,1.8987,0.901
"Poi2 Bin2",0.17259179148823,0.1856,7.5461,36.8067,1.7414,0.882
"Poi2 Non-nor1",-0.191094365087338,-0.1914,0.1396,0.8668,1.8849,0.953
"Poi2 Non-nor2",0.148796200286597,0.1561,4.8826,21.7545,1.7488,0.926
"Bin1 Bin2",-0.237390767433681,-0.2426,2.2045,16.9306,1.908,0.935
"Bin1 Non-nor1",0.125978209311143,0.1248,-0.9326,3.8396,1.7588,0.955
"Bin1 Non-nor2",0.192259638104588,0.1918,-0.2389,1.4915,1.7378,0.938
"Bin2 Non-nor1",0.111321755102836,0.1122,0.824,2.9716,1.7622,0.949
"Bin2 Non-nor2",0.243953152210452,0.2478,1.5751,13.2615,1.724,0.955
"Non-nor1 Non-nor2",0.0770565381972119,0.0777,0.8136,1.9903,1.7745,0.952
